═══════════════════════════════════════════════════════════
🎬 ZOOM RECORDING LOG
═══════════════════════════════════════════════════════════

--- DEVICE INFO ---
Screen: 384 x 749 dp
DPR: 2.81

--- TIMELINE INFO ---
Memories: 6
Content Width: 800 px

--- RECORDING (2133 snapshots) ---

1760285116613 | 151% | scale:0.69 | painterZoom:1.51 | LVL1-Yearly→LVL1-Yearly | Single:8.3-20.6px | Cluster:7.2-17.9px | Years:2
1760285116613 | 151% | scale:0.69 | painterZoom:1.51 | LVL1-Yearly→LVL1-Yearly | Single:8.3-20.7px | Cluster:7.2-17.9px | Years:2
1760285116613 | 151% | scale:0.69 | painterZoom:1.51 | LVL1-Yearly→LVL1-Yearly | Single:8.3-20.7px | Cluster:7.2-17.9px | Years:2
1760285116620 | 154% | scale:0.70 | painterZoom:1.54 | LVL1-Yearly→LVL1-Yearly | Single:8.4-21.0px | Cluster:7.3-18.2px | Years:2
1760285116620 | 154% | scale:0.70 | painterZoom:1.54 | LVL1-Yearly→LVL1-Yearly | Single:8.4-21.0px | Cluster:7.3-18.2px | Years:2
1760285116621 | 154% | scale:0.70 | painterZoom:1.54 | LVL1-Yearly→LVL1-Yearly | Single:8.4-21.0px | Cluster:7.3-18.2px | Years:2
1760285116621 | 154% | scale:0.70 | painterZoom:1.54 | LVL1-Yearly→LVL1-Yearly | Single:8.4-21.0px | Cluster:7.3-18.2px | Years:2
1760285116629 | 157% | scale:0.71 | painterZoom:1.57 | LVL1-Yearly→LVL1-Yearly | Single:8.6-21.4px | Cluster:7.4-18.6px | Years:2
1760285116629 | 157% | scale:0.71 | painterZoom:1.57 | LVL1-Yearly→LVL1-Yearly | Single:8.6-21.4px | Cluster:7.4-18.6px | Years:2
1760285116629 | 157% | scale:0.72 | painterZoom:1.57 | LVL1-Yearly→LVL1-Yearly | Single:8.6-21.5px | Cluster:7.4-18.6px | Years:2
1760285116629 | 157% | scale:0.72 | painterZoom:1.57 | LVL1-Yearly→LVL1-Yearly | Single:8.6-21.5px | Cluster:7.4-18.6px | Years:2
1760285116638 | 160% | scale:0.73 | painterZoom:1.60 | LVL1-Yearly→LVL1-Yearly | Single:8.7-21.8px | Cluster:7.6-18.9px | Years:2
1760285116638 | 160% | scale:0.73 | painterZoom:1.60 | LVL1-Yearly→LVL1-Yearly | Single:8.7-21.8px | Cluster:7.6-18.9px | Years:2
1760285116638 | 160% | scale:0.73 | painterZoom:1.60 | LVL1-Yearly→LVL1-Yearly | Single:8.7-21.9px | Cluster:7.6-19.0px | Years:2
1760285116638 | 160% | scale:0.73 | painterZoom:1.60 | LVL1-Yearly→LVL1-Yearly | Single:8.7-21.9px | Cluster:7.6-19.0px | Years:2
1760285116646 | 162% | scale:0.74 | painterZoom:1.62 | LVL1-Yearly→LVL1-Yearly | Single:8.9-22.2px | Cluster:7.7-19.2px | Years:2
1760285116646 | 162% | scale:0.74 | painterZoom:1.62 | LVL1-Yearly→LVL1-Yearly | Single:8.9-22.2px | Cluster:7.7-19.2px | Years:2
1760285116655 | 164% | scale:0.75 | painterZoom:1.64 | LVL1-Yearly→LVL1-Yearly | Single:9.0-22.5px | Cluster:7.8-19.5px | Years:2
1760285116655 | 164% | scale:0.75 | painterZoom:1.64 | LVL1-Yearly→LVL1-Yearly | Single:9.0-22.5px | Cluster:7.8-19.5px | Years:2
1760285116655 | 165% | scale:0.75 | painterZoom:1.65 | LVL1-Yearly→LVL1-Yearly | Single:9.0-22.5px | Cluster:7.8-19.5px | Years:2
1760285116655 | 165% | scale:0.75 | painterZoom:1.65 | LVL1-Yearly→LVL1-Yearly | Single:9.0-22.5px | Cluster:7.8-19.5px | Years:2
