═══════════════════════════════════════════════════════════
🎬 ZOOM RECORDING LOG
═══════════════════════════════════════════════════════════

--- DEVICE INFO ---
Screen: 690 x 750 dp
DPR: 2.63

--- TIMELINE INFO ---
Memories: 6
Content Width: 800 px

--- RECORDING (5029 snapshots) ---

1760244362625 | 187% | scale:1.53 | painterZoom:1.87 | LVL1-Yearly→LVL2-Monthly | Single:18.3-45.9px | Cluster:15.9-39.8px | Years:2
1760244362625 | 187% | scale:1.53 | painterZoom:1.87 | LVL1-Yearly→LVL2-Monthly | Single:18.3-45.9px | Cluster:15.9-39.8px | Years:2
1760244362625 | 187% | scale:1.53 | painterZoom:1.87 | LVL1-Yearly→LVL2-Monthly | Single:18.3-45.9px | Cluster:15.9-39.8px | Years:2
1760244362634 | 189% | scale:1.55 | painterZoom:1.89 | LVL1-Yearly→LVL2-Monthly | Single:18.6-46.5px | Cluster:16.1-40.3px | Years:2
1760244362634 | 189% | scale:1.55 | painterZoom:1.89 | LVL1-Yearly→LVL2-Monthly | Single:18.6-46.5px | Cluster:16.1-40.3px | Years:2
1760244362634 | 189% | scale:1.55 | painterZoom:1.89 | LVL1-Yearly→LVL2-Monthly | Single:18.6-46.5px | Cluster:16.1-40.3px | Years:2
1760244362634 | 189% | scale:1.55 | painterZoom:1.89 | LVL1-Yearly→LVL2-Monthly | Single:18.6-46.5px | Cluster:16.1-40.3px | Years:2
1760244362642 | 191% | scale:1.57 | painterZoom:1.91 | LVL1-Yearly→LVL2-Monthly | Single:18.8-47.0px | Cluster:16.3-40.7px | Years:2
1760244362642 | 191% | scale:1.57 | painterZoom:1.91 | LVL1-Yearly→LVL2-Monthly | Single:18.8-47.0px | Cluster:16.3-40.7px | Years:2
1760244362642 | 191% | scale:1.57 | painterZoom:1.91 | LVL1-Yearly→LVL2-Monthly | Single:18.8-47.0px | Cluster:16.3-40.7px | Years:2
1760244362642 | 191% | scale:1.57 | painterZoom:1.91 | LVL1-Yearly→LVL2-Monthly | Single:18.8-47.0px | Cluster:16.3-40.7px | Years:2
1760244362650 | 193% | scale:1.58 | painterZoom:1.93 | LVL1-Yearly→LVL2-Monthly | Single:19.0-47.5px | Cluster:16.5-41.1px | Years:2
